City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
218,nishihara,26.1842,127.7558,60.08,61,40,6.91,JP,1678052717
219,tura,25.5198,90.2201,66.96,47,0,3.2,IN,1678052717
220,ancud,-41.8697,-73.8203,61.47,89,66,14.67,CL,1678052718
221,avera,33.194,-82.5271,74.71,41,0,6.02,US,1678052718
222,oussouye,12.485,-16.5469,75.38,71,65,7.92,SN,1678052719
223,port hardy,50.6996,-127.4199,44.6,75,75,3.44,CA,1678052578
224,asau,46.4333,26.4,33.28,80,70,4.32,RO,1678052719
225,viedma,-40.8135,-62.9967,95.86,14,0,14.25,AR,1678052720
226,narasannapeta,18.4167,84.05,72.46,54,0,3.11,IN,1678052720
227,grand-lahou,5.1367,-5.0242,80.02,88,50,6.69,CI,1678052721
228,humaita,-7.5061,-63.0208,78.15,93,99,1.14,BR,1678052721
229,doctor arroyo,23.6667,-100.1833,82.49,13,19,10.33,MX,1678052722
230,san patricio,28.017,-97.5169,85.15,46,0,14.41,US,1678052722
231,omboue,-1.5746,9.2618,80.01,86,60,6.29,GA,1678052723
232,havre-saint-pierre,50.2334,-63.5986,25.16,68,100,17.27,CA,1678052724
233,shache,38.4167,77.2406,47.82,37,2,4.72,CN,1678052724
234,montijo,38.7067,-8.9739,57.13,94,20,3.44,PT,1678052725
235,newport,51.5877,-2.9984,40.82,87,98,5.95,GB,1678052551
236,egvekinot,66.3167,-179.1667,14.58,96,100,4.81,RU,1678052727
237,robertsport,6.7533,-11.3686,80.11,84,20,5.46,LR,1678052728
238,longyearbyen,78.2186,15.6401,4.84,61,75,10.36,SJ,1678052520
239,wattegama,6.7989,81.4808,71.62,92,8,4.45,LK,1678052729
240,vanimo,-2.6741,141.3028,75.79,94,100,5.08,PG,1678052730
241,neryungri,56.6709,124.6491,-11.27,96,97,4.18,RU,1678052730
242,casas grandes,30.3667,-107.95,73.22,9,11,16.49,MX,1678052731
243,vila,42.0304,-8.1588,38.7,84,99,2.91,PT,1678052731
244,zhanakorgan,43.9098,67.2495,45.03,75,100,4.61,KZ,1678052732
245,mehamn,71.0357,27.8492,15.71,61,0,12.66,NO,1678052733
246,hasaki,35.7333,140.8333,46.22,82,100,13.04,JP,1678052733
247,guerrero negro,27.9769,-114.0611,60.87,60,99,20.74,MX,1678052651
248,dunedin,-45.8742,170.5036,59.81,61,13,5.99,NZ,1678052631
249,plettenberg bay,-34.0527,23.3716,65.39,84,34,13.82,ZA,1678052734
250,rocha,-34.4833,-54.3333,71.98,70,0,11.23,UY,1678052735
251,temir,49.1414,57.13,33.62,91,96,17.65,KZ,1678052735
252,tiksi,71.6872,128.8694,-7.67,100,100,3.53,RU,1678052661
253,pella,59.7775,30.8181,24.94,99,100,2.73,RU,1678052736
254,nizhniy kuranakh,58.8353,125.4869,7.16,91,100,7.72,RU,1678052737
255,veraval,20.9,70.3667,77.95,53,0,9.33,IN,1678052737
256,lichinga,-13.3128,35.2406,66.29,100,100,3.44,MZ,1678052738
257,torbay,47.6666,-52.7314,25.68,68,75,10.36,CA,1678052515
258,key west,24.5557,-81.7826,82.99,69,40,8.05,US,1678052739
259,payakumbuh,-0.2202,100.6308,67.77,99,69,0.74,ID,1678052739
260,jalu,29.0331,21.5482,57.72,46,2,9.93,LY,1678052739
261,port macquarie,-31.4333,152.9167,75.88,74,9,11.68,AU,1678052601
262,pindiga,9.9833,10.9333,86.59,20,50,2.68,NG,1678052741
263,port alfred,-33.5906,26.891,65.17,96,94,5.01,ZA,1678052557
264,midland,31.9974,-102.0779,83.68,11,0,17.27,US,1678052480
265,kodiak,57.79,-152.4072,33.31,69,0,3.44,US,1678052544
266,saint-lo,49.1162,-1.0903,37.83,80,100,3.96,FR,1678052742
267,surovikino,48.6078,42.8486,33.03,62,7,3.69,RU,1678052743
268,cruz alta,-28.6386,-53.6064,72.61,60,1,9.89,BR,1678052743
269,puri,19.8,85.85,72.12,66,0,6.91,IN,1678052744
270,mandurah,-32.55,115.7,56.98,81,1,11.21,AU,1678052691
271,michigan city,41.7075,-86.895,52.41,56,0,0.0,US,1678052745
272,leirvik,59.7798,5.5005,31.62,61,50,6.42,NO,1678052745
273,alice springs,-23.7,133.8833,65.75,48,0,8.05,AU,1678052599
274,ruteng,-8.6136,120.4721,61.03,94,93,1.21,ID,1678052746
275,inuvik,68.3499,-133.7218,-4.94,61,0,5.75,CA,1678052465
276,ibra,22.6906,58.5334,68.56,53,1,2.26,OM,1678052746
277,roatan,16.3244,-86.5366,83.48,58,0,20.71,HN,1678052682
278,daru,-9.0763,143.2092,77.99,87,93,12.01,PG,1678052747
279,hervey bay,-25.2986,152.8535,74.41,75,33,4.38,AU,1678052564
280,haldwani,29.2167,79.5167,63.86,32,0,5.7,IN,1678052748
281,taunggyi,20.7833,97.0333,54.91,55,0,2.93,MM,1678052749
282,butaritari,3.0707,172.7902,80.56,77,99,5.5,KI,1678052749
283,leningradskiy,69.3833,178.4167,-6.57,96,100,8.46,RU,1678052750
284,hami,42.8,93.45,43.52,34,4,2.91,CN,1678052750
285,asyut,27.181,31.1837,73.06,17,68,10.67,EG,1678052751
286,derzhavinsk,51.1,66.3167,21.63,94,78,19.64,KZ,1678052751
287,portland,45.5234,-122.6762,46.38,79,100,7.0,US,1678052254
288,kamakwie,9.5,-12.2333,80.69,55,3,7.47,SL,1678052752
289,tautira,-17.7333,-149.15,79.74,82,100,18.66,PF,1678052752
290,aketi,2.7388,23.7833,77.29,52,41,2.04,CD,1678052753
291,bafq,31.6128,55.4107,63.82,20,36,1.97,IR,1678052753
292,carutapera,-1.195,-46.02,77.13,91,100,6.96,BR,1678052754
293,darab,28.7519,54.5444,60.64,35,2,3.04,IR,1678052754
294,kaihua,23.3687,104.28,53.98,91,100,6.22,CN,1678052755
295,sechura,-5.5569,-80.8222,82.18,62,52,16.13,PE,1678052755
296,romitan,39.9343,64.3814,58.95,55,75,6.91,UZ,1678052755
297,sherbakul,54.6316,72.3963,23.83,94,90,9.44,RU,1678052756
298,temirgoyevskaya,45.1141,40.2803,45.63,90,100,3.94,RU,1678052756
299,maunabo,18.0072,-65.8993,83.7,83,28,11.5,PR,1678052757
300,camacha,33.0833,-16.3333,63.82,77,20,8.05,PT,1678052757
301,saint-francois,46.4154,3.9054,34.97,93,6,4.61,FR,1678052554
302,ossora,59.2353,163.0719,-8.52,90,92,1.39,RU,1678052758
303,atocha,-20.9333,-66.2333,57.83,54,95,15.61,BO,1678052758
304,opuwo,-18.0607,13.84,65.84,40,0,4.32,NA,1678052759
305,bubaque,11.2833,-15.8333,76.33,67,32,17.2,GW,1678052759
306,cutervo,-6.379,-78.8157,58.08,85,97,2.77,PE,1678052760
307,okitipupa,6.5047,4.7839,78.17,88,100,3.6,NG,1678052760
308,port elizabeth,-33.918,25.5701,67.32,83,0,19.57,ZA,1678052761
309,donskoye,45.4552,41.9741,44.73,84,100,3.8,RU,1678052761
310,sagana,-0.6667,37.2,62.89,73,100,3.74,KE,1678052761
311,necochea,-38.5473,-58.7368,85.44,37,0,6.42,AR,1678052762
312,calhoun,42.2506,-85.0005,48.97,49,0,0.0,US,1678052763
313,narsaq,60.9167,-46.05,50.22,72,5,9.55,GL,1678052763
314,puerto montt,-41.4698,-72.9447,76.03,53,75,9.22,CL,1678052764
315,koslan,63.4564,48.8989,-16.89,100,100,3.22,RU,1678052764
316,yulara,-25.2406,130.9889,70.81,48,34,10.83,AU,1678052765
317,bima,-8.4667,118.7167,74.52,93,100,1.25,ID,1678052765
318,chapais,49.7834,-74.8492,33.58,86,99,10.13,CA,1678052766
319,caruray,10.3094,119.0128,73.89,87,18,6.69,PH,1678052766
320,martil,35.6166,-5.2752,60.76,59,75,2.3,MA,1678052767
321,quebec,46.8123,-71.2145,39.54,69,75,14.97,CA,1678052700
322,luanda,-8.8368,13.2343,77.0,83,20,10.36,AO,1678052767
323,vila franca do campo,37.7167,-25.4333,59.41,75,90,11.48,PT,1678052768
324,kisangani,0.5167,25.2,75.94,61,40,0.11,CD,1678052768
325,la ronge,55.1001,-105.2842,1.65,46,40,14.97,CA,1678052769
326,boda,4.3189,17.4695,84.13,33,99,3.47,CF,1678052769
327,shimoni,-4.6476,39.3817,76.95,86,99,8.5,KE,1678052770
328,kolin,50.0281,15.2006,37.42,69,75,8.05,CZ,1678052770
329,ziarat,30.3823,67.7282,44.01,51,0,4.12,PK,1678052771
330,mabamba,-3.5983,30.5019,63.14,93,94,1.72,TZ,1678052771
331,taoudenni,22.6783,-3.9836,78.3,13,0,10.63,ML,1678052520
332,yakeshi,49.2833,120.7333,10.92,97,100,4.18,CN,1678052772
333,nuuk,64.1835,-51.7216,27.41,73,35,9.51,GL,1678052773
334,ondo,7.1,4.8333,76.06,88,87,3.89,NG,1678052774
335,muzhi,65.3667,64.6667,-20.81,100,100,4.72,RU,1678052774
336,yomou,7.5603,-9.2653,71.44,96,100,3.15,GN,1678052775
337,talcahuano,-36.7167,-73.1167,71.28,64,0,18.41,CL,1678052566
338,keetmanshoop,-26.5833,18.1333,63.46,49,0,12.59,NA,1678052775
339,slave lake,55.2834,-114.769,3.18,72,0,3.44,CA,1678052776
340,shingu,33.7333,135.9833,44.11,83,3,5.32,JP,1678052715
341,souillac,-20.5167,57.5167,75.58,94,75,0.0,MU,1678052777
342,sungaipenuh,-2.0833,101.3833,61.79,97,47,3.4,ID,1678052777
343,severnoye,56.3491,78.3619,13.15,97,99,6.22,RU,1678052778
344,matara,5.9485,80.5353,73.94,86,75,7.7,LK,1678052738
345,najran,17.4924,44.1277,70.45,34,0,2.46,SA,1678052778
346,kon tum,14.35,108.0,55.15,95,0,2.98,VN,1678052779
347,fairbanks,64.8378,-147.7164,18.82,62,75,0.0,US,1678052568
348,archidona,37.0965,-4.3887,47.41,84,96,0.89,ES,1678052779
349,tianpeng,30.9866,103.9393,59.72,59,100,1.1,CN,1678052780
350,dawson,31.7735,-84.4466,80.02,39,0,4.52,US,1678052780
351,batagay-alyta,67.8006,130.4114,-7.67,99,100,1.72,RU,1678052781
352,korla,41.7597,86.1469,41.2,48,3,3.53,CN,1678052781
353,okhotsk,59.3833,143.3,-13.18,88,81,6.73,RU,1678052745
354,victoria,22.2855,114.1577,64.33,70,0,8.99,HK,1678052548
355,rehoboth,-23.3167,17.0833,66.92,19,0,8.08,NA,1678052783
356,ukiah,39.1502,-123.2078,44.1,79,100,10.36,US,1678052783
357,iqaluit,63.7506,-68.5145,24.53,85,100,2.3,CA,1678052784
358,lavrentiya,65.5833,-171.0,31.73,98,100,16.13,RU,1678052784
359,san jeronimo,-11.9472,-75.2829,58.3,70,100,5.5,PE,1678052785
360,inirida,3.8653,-67.9239,80.64,85,98,0.74,CO,1678052785
361,aykhal,66.0,111.5,-18.96,100,100,6.26,RU,1678052786
362,sao joao da barra,-21.6403,-41.0511,80.69,84,81,18.45,BR,1678052786
363,mpwapwa,-6.35,36.4833,64.24,88,94,3.83,TZ,1678052787
364,sitka,57.0531,-135.33,30.09,37,0,10.36,US,1678052787
365,qena,26.1615,32.7183,79.05,13,100,2.04,EG,1678052788
366,te anau,-45.4167,167.7167,55.99,59,31,1.14,NZ,1678052613
367,aleppo,36.25,37.5,59.61,42,89,8.46,SY,1678052788
